### TP FILE - COLORADO/WY/NM/IA
# Name          ID      LAT		LONG		MSL	RWAY	RADIO   ATTR
 Glen-Asp    	7V4	39,23.33,N	107,09.60,W	6835	04/22	_	AV 
 Glendeve    	GLN	40,53.14,N	105,57.20,W	8000	19/01	-	G 
 Glenwood    	GWS	39,31.00,N	107,18.95,W	5915	14/32	122.8	TA 
 GoldHill    	ghl	40,04.00,N	105,25.00,W	8470	_	_	T 
 Granby      	GNB	40,05.38,N	105,55.03,W	8202	09/27	123.0	TA 
 GrandJCT    	gjt	39,07.35,N	108,31.60,W	4858	_	_	T 
 Grant       	GGF	40,52.17,N	101,43.97,W	3422	15/33	_	AV 
 GrantCou    	1V2	42,00.57,N	101,46.17,W	3710	17/35	_	TA 
 GreatFal    	gtf	47,28,90,N	111,22,20,W	3674	_	_	T 
 GreeleyW    	GXY	40,25.68,N	104,37.95,W	4659	03/21	122.8	TA 
 Greenhorn    	CO22	37,57.50,N	104,47.25,W	5797	08/26	122.8	TA 
 GreenRiver    	U34	38,57.50,N	110,13.00,W	4225	08/26	122.8	TA 
 GreggsNR    	0CO3	39,53.37,N	104,32.70,W	5373	18/36	_	TA 
 Griffin     	0K0	37,23.50,N	102,16.78,W	3964	09/27	_	AV 
 GrossRes    	grr	39,57.00,N	105,22.00,W	8000	_	_	T 
 GrunverM    	E19	36,14.02,N	101,25.93,W	3204	02/20	_	TA 
 Guernsey    	7v6	42,15.58,N	104,43.66,W	6000	_	_	T 
 Gunnison    	GUC	38,32.20,N	106,56.00,W	7674	06/24	122.7	TA 
 GuymonMu    	GUY	36,41.05,N	101,30.42,W	3123	06/24	_	TA 
 GypsumCr    	CO47	39,36.00,N	106,58.45,W	6720	03/21	_	AV 
 Halligan    	hal	40,53.50,N	105,22.00,W	7000	_	_	T 
 Hanksvil    	hve	38,25.00,N	110,41.00,W	4444	08/26	122.8	TA 
 HappyCny    	64CO	38,25.00,N	107,54.03,W	6200	18/36	_	TA 
 HarfordR    	2NE9	40,11.30,N	101,58.13,W	3502	_	_	TA 
 Harringt    	CO02	39,37.78,N	104,31.12,W	5975	N/S	_	AV 
 HatField    	6CO4	40,30.62,N	105,00.08,W	4885	09/27	_	TA 
 HayFever    	CO59	40,32.75,N	104,33.87,W	4840	17/35	_	AV 
 Hellig      	BFF	41,53.75,N	103,35.90,W	3965	05/23	123.0	TA 
 Henderso    	5CO3	39,55.00,N	104,52.03,W	5015	18/36	_	AV 
 Hill        	CO81	39,37.25,N	102,44.62,W	4345	17/35	_	TA 
 Holyoke     	HEQ	40,34.62,N	102,16.70,W	3727	17/35	122.7	TA 
 HookerM     	5OK2	36,51.42,N	101,13.63,W	2998	17/35	_	TA 
 Hooper      	_	37,43.60,N	105,50.70,W	7700	_	_	TA 
 HorizonR    	NM31	35,09.93,N	106,10.53,W	6680	16/34	_	AV 
 Horth       	CO77	39,58.72,N	104,35.62,W	5128	N/S	_	AV 
 HotSprng    	hsr	43,22.09,N	103,23.28,W	3148	06/24	122.8	AV 
 Hoy         	76CO	39,50.15,N	104,25.33,W	5310	17/35	_	AV 
